date,composite_score,composite_label,risk_regime
2025-05-19,0.793,Bullish,Bullish
2025-05-20,0.847,Bullish,Bullish
2025-05-21,0.912,Bullish,Bullish
2025-05-22,0.905,Bullish,Bullish
2025-05-23,0.905,Bullish,Bullish
2025-05-24,0.905,Bullish,Bullish
2025-05-25,0.905,Bullish,Bullish
2025-05-26,0.916,Bullish,Bullish
2025-05-27,0.915,Bullish,Bullish
2025-05-28,0.915,Bullish,Bullish
2025-05-29,0.942,Bullish,Bullish
2025-05-30,0.942,Bullish,Bullish
2025-05-31,0.942,Bullish,Bullish
2025-06-01,0.943,Bullish,Bullish
2025-06-02,0.92,Bullish,Bullish
2025-06-03,0.92,Bullish,Bullish
2025-06-04,0.917,Bullish,Bullish
2025-06-05,0.923,Bullish,Bullish
2025-06-06,0.923,Bullish,Bullish
2025-06-07,0.923,Bullish,Bullish
2025-06-08,0.921,Bullish,Bullish
2025-06-09,0.947,Bullish,Bullish
2025-06-10,0.946,Bullish,Bullish
2025-06-11,0.944,Bullish,Bullish
2025-06-12,0.935,Bullish,Bullish
2025-06-13,0.847,Bullish,Bullish
2025-06-14,0.847,Bullish,Bullish
2025-06-15,0.853,Bullish,Bullish
2025-06-16,0.87,Bullish,Bullish
2025-06-17,0.875,Bullish,Bullish
2025-06-18,0.875,Bullish,Bullish
2025-06-19,0.811,Bullish,Bullish
2025-06-20,0.811,Bullish,Bullish
2025-06-21,0.811,Bullish,Bullish
2025-06-22,0.813,Bullish,Bullish
2025-06-23,0.82,Bullish,Bullish
2025-06-24,0.823,Bullish,Bullish
2025-06-25,0.886,Bullish,Bullish
2025-06-26,0.887,Bullish,Bullish
2025-06-27,0.949,Bullish,Bullish
2025-06-28,0.949,Bullish,Bullish
2025-06-29,0.948,Bullish,Bullish
2025-06-30,0.885,Bullish,Bullish
2025-07-01,0.886,Bullish,Bullish
2025-07-02,0.886,Bullish,Bullish
2025-07-03,0.949,Bullish,Bullish
2025-07-04,0.886,Bullish,Bullish
2025-07-05,0.886,Bullish,Bullish
2025-07-06,0.882,Bullish,Bullish
2025-07-07,0.947,Bullish,Bullish
2025-07-08,0.95,Bullish,Bullish
2025-07-09,0.951,Bullish,Bullish
2025-07-10,0.886,Bullish,Bullish
2025-07-11,0.949,Bullish,Bullish
2025-07-12,0.949,Bullish,Bullish
2025-07-13,0.946,Bullish,Bullish
2025-07-14,0.946,Bullish,Bullish
2025-07-15,0.946,Bullish,Bullish
2025-07-16,0.946,Bullish,Bullish
2025-07-17,0.946,Bullish,Bullish
